CommentOwnerId,PostOwnerId,Weight
985,985,1
1003,8088,1
8088,1003,3
1003,1003,4
108,8214,1
8191,8191,5
964,8191,1
21,8268,1
7720,7720,5
7720,90,1
90,90,3
9123,90,1
8281,8281,1
7720,3152,1
7848,122,1
21,8214,1
3466,5255,1
3466,8127,1
8235,8236,1
8236,8236,1
8127,3466,1
8313,8191,1
2452,8368,1
1367,8368,1
7887,6467,1
2576,8425,1
4897,8425,1
0,102,1
381,8482,1
3466,2750,1
8344,8344,2
84,8462,1
5316,381,1
5316,5316,1
2452,8597,1
1131,4993,4
4993,4993,3
8686,2452,7
1077,8389,1
8597,8462,2
381,8285,1
8285,8285,2
1003,97,1
3466,2723,1
12446,2723,1
587,8800,1
8692,8792,1
7867,1048,1
1048,1048,1
8860,8860,2
7923,587,1
587,587,3
8938,609,1
8938,8938,1
182,8969,1
8969,8969,3
8944,3417,1
3417,3417,1
8951,8953,1
8953,8953,4
587,8953,1
8644,2452,1
3417,9015,1
2452,9015,1
2452,9033,1
9033,2452,4
9052,9052,1
21,9079,1
9079,NULL,1
4947,2452,1
471,9105,1
9097,9114,1
9114,9114,1
3466,9125,2
2452,3314,2
173,3314,1
3024,3024,6
9227,9227,1
1131,9219,1
173,9219,1
7980,9246,1
5091,9246,1
9246,9246,2
173,9281,1
9287,9287,1
16562,536,1
9281,173,1
8344,9420,1
8041,8041,8
9461,9461,4
2452,122,2
122,9492,1
9492,9492,1
122,9483,1
9483,9483,3
9508,9488,1
182,9496,1
9488,9508,1
173,9508,1
9488,173,1
2452,982,1
182,9510,1
9510,9510,1
5224,182,1
9534,182,1
9123,9035,1
9035,9035,2
8878,8878,128
924,8878,2
378,378,2
9576,8498,1
9663,1279,2
8040,3457,1
3457,3457,2
9714,108,1
62336,9662,1
9448,9448,1
9724,9724,2
21707,9724,2
471,10171,2
10171,10171,1
1367,9771,1
11097,9771,1
1330,378,1
9819,9804,1
8878,9769,1
8152,8152,7
8657,8657,1
52213,75,1
847,7923,1
75,75,12
1283,1283,2
6550,9483,1
10404,9483,1
9085,9085,5
9958,9958,1
9966,4897,2
9988,9988,6
9960,9960,1
10001,10001,1
9420,10001,1
9966,9941,1
9941,9941,1
8338,8338,4
8338,9698,1
8275,8275,6
9966,9966,2
178,10085,1
10085,10085,1
8338,10086,1
10086,10086,1
9698,9698,1
847,9698,1
8878,10114,1
0,10114,1
3466,10138,1
10127,10127,1
9637,9637,1
5043,8275,5
9766,9766,1
10201,10201,2
13053,3151,1
10201,8878,3
3466,10210,1
10210,10210,2
10225,3466,1
10255,816,1
5279,10225,2
10225,10225,1
5279,8774,1
10270,10270,1
471,10272,1
10293,10293,1
10102,10303,1
10303,10303,2
9966,10322,3
10322,10322,5
9943,9943,6
66863,9943,1
816,10314,1
10344,10344,1
10381,10381,6
0,10381,4
10404,10291,1
10404,9202,2
